MAIN_id,RA,DEC,SP_TYPE,U,A_U,B,A_B,V,A_V,R,A_R,I,A_I,J,A_J,H,A_H,K,2MASS_FLAG,A_K,W1,A_W1,W2,A_W2,F9,F9_FLAG,W3,A_W3,F18,F18_FLAG,W4,WISE_FLAG,A_W4,25,60,100,450,850,890,1300,2600,2700,,,,,,,,,,,
 lkh 169,20 52 07,+44 03 44,     B3V(e),     null ,4.7807248647200,11.1,4.063183881410,10.3,3.0690005912800,     null ,2.2995891754400,     null ,1.4696622549800,10.265,0.8645072088110,9.229,0.53945249829800,8.338,000,0.33024175376600,6.904,0.16195101711700,6.221,0.10008508019800,1.021000,3,3.733,0.08365836259660,1.307000,3,1.726,0h00 ,0.054595705053700,,,,,,,,,,,,,,,,,,,,
 lkh 176,20 52 58,+44 15 03,       B5ne,     null ,4.4040577503000,12.872,3.743050890860,12.1,2.8271980133100,14.4,2.1184075254600,10.992,1.3538694711600,8.901,0.7963938065650,8.698,0.49694973529700,8.623,000,0.30422243410800,8.549,0.14919110643000,8.545,0.09219950647830,      null|, null,7.871,0.07706702866130,      null|,null,4.393,0h00 ,0.050294180229700,,,,,,,,,,,,,,,,,,,,
 lkh 183,20 55 10,+45 03 02,    B0.5:Ve,     null ,2.3662146908600,12,2.011068543770,11.77,1.5189985809300,14.4,1.1381792183900,     null ,0.7274077711510,14.517,0.4278869242060,3.292,0.26700144070500,2.768,ccc ,0.16345280504700,9.129,0.08015748380120,8.746,0.04953700407400,      null|, null,7.643,0.04140661765550,      null|,null,6.773,0h00 ,0.027022086192300,,,,,,,,,,,,,,,,,,,,
 lkh 192,20 59 17,+44 17 46,         Be,     null ,7.4415108147500,15.617,6.324611361540,14.216,4.7771000709500,16.5,3.5794608982400,12.176,2.2876253860900,14.989,1.3456619918200,4.220,0.83969308289400,4.147,ccc ,0.51404288087400,9.298,0.25208734646700,8.982,0.15578897087000,      null|, null,8.028,0.13021971094800,      null|,null,6.159,0000,0.084981784372100,,,,,,,,,,,,,,,,,,,,
 lkh 193,20 59 31,+44 35 44,         Be,     null ,4.1529534021600,14.5,3.529634898760,13.78,2.6660008277900,19,1.9976231554700,     null ,1.2766764527400,10.393,0.7509861486730,9.700,0.46861535677200,9.084,sss ,0.28687670879300,8.459,0.14068473851800,8.141,0.08694260516460,0.057210,3,7.372,0.07267292960710,      null ,0,5.908,0d00 ,0.047426577655500,,,,,,,,,,,,,,,,,,,,
 lkh 194,21 01 40,+44 19 44,         Be,     null ,3.7183413977100,14,3.160253990820,13.37,2.3870003547700,15.8,1.7885692799100,     null ,1.1430705924200,11.971,0.6723944661320,1.648,0.41957414686600,1.420,000,0.25685468606200,11.034,0.12596189665500,10.777,0.07784394783710,      null|, null,10.446,0.06506761248750,      null|,null,8.825,0o00 ,0.042463324282900,,,,,,,,,,,,,,,,,,,,
 lkh 198,00 11 25,+58 49 28,        B9e,     null ,4.4426912998400,14.65,3.775885914870,13.79,2.8519989357000,14.03,2.1369907518200,     null ,1.3657459692100,12.010,0.8033799818870,1.716,0.50130910869800,1.402,000,0.30689115308100,10.753,0.15049984994000,10.432,0.09300830472810,      null|, null,9.499,0.07774308084720,      null|,null,8.646,dd00 ,0.050735373968100,,,,,,,,,,,,,,,,,,,,
 lkh 201,00 43 25,+61 38 23,        B2e,     null ,-0.3863220478220,14,0.328338810988,14.3,-0.2480005912780,13,-0.1858257951550,     null ,-0.1187608465280,9.988,0.0698593214868,7.889,-0.04359221660780,6.290,000,-0.02668626080800,4.677,-0.01308697955850,3.304,0.00808770097268,9.475000,3,0.627,0.00676028654028,29.860001,3,-2.249,HHHH ,0.004411783814260,,,,,,,,,,,,,,,,,,,,
 lkh 208,06 07 49,+18 39 26,       F0Ve,     null ,0.8209301838190,11.78,0.697716431094,11.3,0.5269985809330,     null ,0.3948778099380,     null ,0.2523655176300,10.716,0.1484503044880,0.285,0.09263299000060,9.849,000,0.05670801631440,9.317,0.02780969037400,8.934,0.01718627731350,      null|, null,8.083,0.01436553596530,      null|,null,7.352,0000,0.009374993009150,,,,,,,,,,,,,,,,,,,,
 lkh 215,06 32 41,+10 09 33,        B6e,11.41,3.4285996315800,11.28,2.913999686870,10.7,2.2009997634900,     null ,1.6491998227800,     null ,1.0539998867400,10.254,0.6199999333770,9.834,0.38687995842700,9.245,000,0.23683997455000,7.915,0.11614665418600,6.571,0.07177816728700,3.093000,3,2.524,0.05999739355290,      null ,0,0.766,0000,0.039154483792600,,,,,,,,,,,,,,,,,,,,
 lkh 218,07 02 42,-11 26 11,        A0e,     null ,5.4567864681300,13,4.637775117580,11.87,3.5030003547700,11.2,2.6247833644200,     null ,1.6774931276300,13.041,0.9867606633150,1.942,0.61573865390800,1.336,ccc ,0.37694257338600,5.426,0.18485316426100,4.727,0.11423851544300,17.940001,3,2.966,0.09548882938900,13.670000,3,0.657,HHHH ,0.062316304113900,,,,,,,,,,,,,,,,,,,,
 lkh 220,07 04 06,-11 26 08,        B8e,     null ,0.5311891545360,11.62,0.451462753403,11.6,0.3409984626770,11.6,0.2555087072450,     null ,0.1632950384650,10.255,0.0960559049794,9.419,0.05993888470720,8.577,000,0.03669335570210,7.297,0.01799447286610,6.39,0.01112051218940,0.882700,3,3.905,0.00929532992486,0.921500,3,2.22,0h00 ,0.006066160933620,,,,,,,,,,,,,,,,,,,,
 lkh 257,21 54 18,+47 12 09,     B5/A2e,     null ,4.1046621560400,13.87,3.488591705860,13.16,2.6350001182600,13.8,1.9743944548100,     null ,1.2618310425400,10.763,0.7422535544380,0.022,0.46316621796900,9.116,000,0.28354085779500,7.884,0.13904883253100,7.08,0.08593162181430,0.888500,3,3.907,0.07182787646300,1.107000,3,2.054,0hhh ,0.046875093371300,,,,,,,,,,,,,,,,,,,,
