# CVSO    ID_SIMBAD                                                    typ   RA_J2000      DEC_J2000     RA           DEC          LR_INST   SpN    SpT    WHa      WLiI    W8183    W8195    EW_NaI   HR_INST   FILT    Ha_Hi     WHa_Hi    WHa10    LiI_Hi   WLiI_Hi   Vrad     Vr_err   R        V        errV     Nv    Rc       errRc    Nr   Ic       errIc    Ni    AmpV     AmpR     AmpI     Vstd     Rstd     Istd     Vprob      Rprob      Iprob      Lvr      Lvi      Lri      SDSS_u     SDSS_u_err   SDSS_g     SDSS_g_err    SDSS_r     SDSS_r_err    SDSS_i     SDSS_i_err    SDSS_z     SDSS_z_err    Sep_SDSS               J        errJ    H        errH    Ks       errKs   ph_qual   cc_flg   Sep_2MASS   ID_VISTA   ra_vista        dec_vista          magZ      emagZ        magY      emagY        magJ      emagJ        magH      emagH        magK      emagK        Sep_VISTA              ra_irac      dec_irac      RAJ2000_mips   DECJ2000_mips   m36       err36        m45       err45        m58       err58        m8        err8         mag24    m24_err   flux24    errflux24   Sep_IRAC              Sep_MIPS               ID_WISE                ra_wise             dec_wise              sigra_wise   sigdec_wise   pmra_cone   sigpmra   pmdec   sigpmdec   mjdmean        w1mpro   w1sigmpro   w1snr   w2mpro   w2sigmpro   w2snr   w3mpro   w3sigmpro   w3snr   w4mpro   w4sigmpro   w4snr   ph_qual_cone   ext_flg   var_flg   Sep_WISE               UCAC4        RAJ2000      e_RAJ2000   DEJ2000      e_DEJ2000   pmRA    e_pmRA   pmDE    e_pmDE   Bmag     e_Bmag   Vmag     e_Vmag   gmag     e_gmag   rmag     e_rmag   imag     e_imag   Sep_UCAC4              ID_PACS      X70        Y70        FLUX70    errf70   mag70    merr70   X160       Y160       FLUX160   errf160   mag160   merr160   Sep_PACS                Binarity   Bin_Obs    Bin_ObsDate                        Bin-Sep   T_CB   Loc      d    
  1596    V*_V1177_Ori                                                 Fl*   05:35:27.66   -04:12:02.7   83.8652663   -4.2007524   FAST      68.0   M0     -4.4     0.4     -999.0   -999.0   -999.0   ---       ---     -999.0    -999.0    -999.0   -999.0   -999.0    -999.0   -999.0   -999.0   16.032   0.025    36    15.005   0.016    25   13.762   0.016    32    0.325    0.327    0.205    0.075    0.096    0.064    1.4E-22    0.0        0.0        4.211    3.186    4.408    19.20648   0.05054207   16.58998   0.01371499    15.17997   0.01379137    17.75326   0.02839152    13.74927   0.01410626    0.2668738116087271     12.502   0.022   11.748   0.031   11.543   0.02    AAA       000      0.244409    ""         ""              ""                 ""        ""           ""        ""           ""        ""           ""        ""           ""        ""           ""                     ""           ""            ""             ""              ""        ""           ""        ""           ""        ""           ""        ""           ""       ""        ""        ""          ""                    ""                     0835m046_ac51-020840   83.8652653          -4.2008056            0.0412       0.0377        60          58        92      57         55366.60211    11.501   0.023       46.8    11.401   0.022       49.2    11.577   0.323       3.4     8.684    ""          -2.0    AABU           0         11nn      0.191553650077839      429-010076   83.8652874   72          -4.2008245   73          2.9     4.7      2.3     5.2      17.678   0.0      16.024   0.03     16.694   0.07     15.369   0.12     14.446   0.08     0.2703892651163387     ""           ""         ""         ""        ""       ""       ""       ""         ""         ""        ""        ""       ""        ""                      ---        ---        0000-00-00                         0.0       W      A_cloud  440  
  1597    --                                                           ---   05:35:27.88   -01:27:28.8   83.866146    -1.458004    HSP       72.0   M4     -3.5     0.4     0.691    0.903    1.594    ---       ---     -999.0    -999.0    -999.0   -999.0   -999.0    -999.0   -999.0   -999.0   17.734   0.021    40    16.604   0.021    42   14.989   0.052    12    0.453    0.303    -999.0   0.093    0.07     -999.0   3.64E-8    9.46E-41   -999.0     1.728    1.095    2.182    ""         ""           ""         ""            ""         ""            ""         ""            ""         ""            ""                     13.477   0.026   12.716   0.031   12.397   0.023   AAA       000      0.051156    393187     83.8661445734   -1.45799552161     14.264    0.00130705   13.8559   0.00128627   13.3591   0.00233114   12.7      0.00223008   12.4071   0.00289568   0.030950991770163534   83.866119    -1.4579799    05:35:27.79    -01:27:27.9     11.9377   0.00450019   11.6884   0.00481353   11.3217   0.0111229    10.931    0.014613     9.253    ""        1.453     0.193       1.4948584948231576    0.13026519524556082    0831m016_ac51-017617   83.8661268          -1.4580004            0.0432       0.0415        51          54        97      56         55347.235325   12.048   0.025       43.5    11.639   0.023       47.9    10.57    0.094       11.6    8.916    ""          0.1     AAAU           0         110n      0.07030251035687465    ""           ""           ""          ""           ""          ""      ""       ""      ""       ""       ""       ""       ""       ""       ""       ""       ""       ""       ""       ""                     ""           ""         ""         ""        ""       ""       ""       ""         ""         ""        ""        ""       ""        ""                      ---        ---        0000-00-00                         0.0       W      1b       440  
  1598    --                                                           ---   05:35:27.89   +00:10:25.3   83.8662032   0.17369      HSP       71.5   M3.5   -31.26   0.1     1.44     1.475    2.915    ---       ---     -999.0    -999.0    -999.0   -999.0   -999.0    -999.0   -999.0   -999.0   17.773   0.007    66    16.71    0.025    33   15.098   0.066    14    0.313    0.473    -999.0   0.071    0.101    -999.0   0.145      0.0        -999.0     0.888    0.493    2.65     21.17913   0.07501217   18.64004   0.01421879    17.22519   0.01668501    15.97983   0.01240696    15.27273   0.01545076    0.26960709624241697    13.971   0.03    13.274   0.027   13.054   0.033   AAA       000      0.270844    1063300    83.866161283    0.173625169736     14.7786   0.00157895   14.3566   0.00158073   13.8498   0.00291697   13.267    0.0029245    13.0299   0.00399458   0.2779233080395127     ""           ""            ""             ""              ""        ""           ""        ""           ""        ""           ""        ""           ""       ""        ""        ""          ""                    ""                     0831p000_ac51-038614   83.8661632          0.1736333             0.0458       0.0441        50          76        23      89         55353.77733    12.89    0.024       45.0    12.747   0.026       42.2    12.626   ""          -0.2    9.047    ""          -2.6    AAUU           0         00nn      0.24980148903228275    ""           ""           ""          ""           ""          ""      ""       ""      ""       ""       ""       ""       ""       ""       ""       ""       ""       ""       ""       ""                     ""           ""         ""         ""        ""       ""       ""       ""         ""         ""        ""        ""       ""        ""                      ---        ---        0000-00-00                         0.0       C      1b       440  
  1599    V*_V564_Ori                                                  Fl*   05:35:27.92   -06:09:39.0   83.866325    -6.160839    FAST      68.0   M0     -5.98    0.26    -999.0   -999.0   -999.0   ---       ---     -999.0    -999.0    -999.0   -999.0   -999.0    -999.0   -999.0   -999.0   16.285   0.015    11    14.982   0.016    7    13.429   0.018    13    0.264    0.156    0.117    0.08     0.054    0.029    7.42E-11   2.73E-8    0.0786     3.107    -0.545   1.672    19.55005   0.06573059   16.97701   0.01133766    15.54218   0.01782359    14.30157   0.001346424   13.55636   0.009354648   0.2565962229148163     12.125   0.029   11.378   0.03    11.161   0.022   AAA       000      0.180095    ""         ""              ""                 ""        ""           ""        ""           ""        ""           ""        ""           ""        ""           ""                     ""           ""            ""             ""              ""        ""           ""        ""           ""        ""           ""        ""           ""       ""        ""        ""          ""                    ""                     0835m061_ac51-016217   83.866376           -6.1608668            0.0409       0.0372        -27         53        5       50         55356.026608   11.015   0.024       45.9    10.876   0.021       51.7    10.706   0.169       6.4     8.678    ""          0.4     AABU           0         000n      0.2081747344635487     420-010079   83.8663845   51          -6.1608581   52          2.9     4.6      0.6     5.0      17.357   0.12     16.04    0.1      16.841   0.02     15.421   0.02     14.213   0.03     0.2237881407619607     ""           ""         ""         ""        ""       ""       ""       ""         ""         ""        ""        ""       ""        ""                      ---        ---        0000-00-00                         0.0       CW     A_cloud  440  
  1600    2MASS_J05352853-0125314                                      Em*   05:35:28.53   -01:25:31.4   83.8688923   -1.425383    HSP       71.0   M3     -9.031   0.482   0.851    1.389    2.24     ---       ---     -999.0    -999.0    -999.0   -999.0   -999.0    -999.0   -999.0   -999.0   16.671   0.023    38    15.553   0.016    52   14.04    0.018    82    0.946    1.049    0.253    0.145    0.148    0.047    0.0        0.0        2.14E-25   3.771    2.793    2.303    ""         ""           ""         ""            ""         ""            ""         ""            ""         ""            ""                     12.537   0.027   11.916   0.033   11.559   0.026   AAA       000      0.091523    392607     83.868922185    -1.42540409441     13.5297   9.30374E-4   13.097    8.96536E-4   12.6092   0.00163819   12.002    0.00160246   11.7182   0.00207432   0.1316603583747912     83.868913    -1.4253764    05:35:28.43    -01:25:30.2     11.0603   0.00319168   10.8366   0.00338715   10.4454   0.00690586   9.52668   0.00548452   6.645    ""        16.051    0.414       1.9593235031514624    0.07819419325117506    0831m016_ac51-017579   83.8688841          -1.4254044            0.0358       0.0338        -99         41        132     41         55338.100014   11.167   0.023       48.1    10.712   0.02        53.8    8.569    0.028       39.2    6.837    0.082       13.2    AAAA           0         1100      0.08249880472561615    443-010788   83.8689468   102         -1.4254231   104         -9.6    5.2      -7.4    5.4      17.753   0.01     16.674   0.01     17.301   0.06     15.961   0.05     14.66    0.14     0.24353732727644406    ""           ""         ""         ""        ""       ""       ""       ""         ""         ""        ""        ""       ""        ""                      ---        ---        0000-00-00                         0.0       W      1b       440  
  1601    V*_NW_Ori                                                    Or*   05:35:30.16   -06:03:02.6   83.8756712   -6.0507257   FAST      65.0   K5     -2.86    0.53    -999.0   -999.0   -999.0   ---       ---     -999.0    -999.0    -999.0   -999.0   -999.0    -999.0   -999.0   -999.0   14.24    0.015    14    13.362   0.015    8    -999.0   -999.0   0     0.431    0.399    -999.0   0.122    0.121    -999.0   1.4E-45    0.0        -999.0     4.065    2.724    8.218    ""         ""           ""         ""            ""         ""            ""         ""            ""         ""            ""                     11.652   0.022   11.044   0.032   10.829   0.022   AAA       000      0.025713    ""         ""              ""                 ""        ""           ""        ""           ""        ""           ""        ""           ""        ""           ""                     ""           ""            ""             ""              ""        ""           ""        ""           ""        ""           ""        ""           ""       ""        ""        ""          ""                    ""                     0835m061_ac51-016223   83.8756964          -6.0507465            0.0379       0.0359        -83         40        -4      41         55357.580685   10.779   0.023       47.8    10.76    0.02        55.7    9.385    0.096       11.3    7.182    ""          1.3     AAAU           0         n10n      0.11724200328323739    420-010080   83.8756959   41          -6.0507534   17          -12.8   5.3      6.8     2.1      15.503   0.13     14.217   0.06     14.842   0.1      13.699   0.07     13.198   0.03     0.13327787520924647    ""           ""         ""         ""        ""       ""       ""       ""         ""         ""        ""        ""       ""        ""                      ---        ---        0000-00-00                         0.0       W      A_cloud  440  
  1602    --                                                           ---   05:35:30.54   -01:47:40.7   83.8772428   -1.7946433   HSP       70.0   M2     -3.0     0.2     1.009    1.082    2.091    ---       ---     -999.0    -999.0    -999.0   -999.0   -999.0    -999.0   -999.0   -999.0   16.948   0.006    48    15.903   0.017    49   14.667   0.017    72    0.289    0.262    0.261    0.084    0.072    0.05     1.17E-27   0.0        1.72E-42   3.148    2.309    2.745    20.57063   0.06764837   17.89054   0.01172066    16.41932   0.01479439    15.40944   0.01202363    14.79684   0.01296285    0.6077414433505574     13.44    0.026   12.665   0.027   12.484   0.026   AAA       000      0.557888    393171     83.8772196396   -1.79478107962     14.124    0.00122492   13.8274   0.00126881   13.338    0.00230791   12.674    0.00220255   12.4503   0.00295799   0.5029588033090611     83.877217    -1.7947933    ""             ""              12.3088   0.00522716   12.2682   0.00630601   12.2386   0.0214586    12.2389   0.0382605    ""       ""        ""        ""          ""                    0.547921739720116      0831m016_ac51-015282   83.8772019          -1.7948066            0.0425       0.0395        23          64        -11     75         55351.839863   12.297   0.023       47.5    12.225   0.023       46.8    12.604   0.517       2.1     9.249    ""          -0.1    AACU           0         00nn      0.6060208307121977     442-010805   83.8772627   113         -1.7947248   116         -4.9    6.0      -0.6    5.9      ""       ""       ""       ""       ""       ""       ""       ""       ""       ""       0.3020112841441277     ""           ""         ""         ""        ""       ""       ""       ""         ""         ""        ""        ""       ""        ""                      ---        ---        0000-00-00                         0.0       W      1b       440  
  1603    V*_AL_Ori                                                    Or*   05:35:30.91   -04:55:17.8   83.878784    -4.921599    FAST      67.0   K7     -126.1   0.4     -999.0   -999.0   -999.0   ---       ---     -999.0    -999.0    -999.0   -999.0   -999.0    -999.0   -999.0   -999.0   14.771   0.029    8     13.853   0.029    7    12.901   0.025    1     0.291    -999.0   -999.0   0.081    -999.0   -999.0   0.0        -999.0     -999.0     -999.0   -999.0   -999.0   ""         ""           ""         ""            ""         ""            ""         ""            ""         ""            ""                     11.863   0.023   11.069   0.029   10.673   0.019   AAA       000      0.222278    ""         ""              ""                 ""        ""           ""        ""           ""        ""           ""        ""           ""        ""           ""                     ""           ""            ""             ""              ""        ""           ""        ""           ""        ""           ""        ""           ""       ""        ""        ""          ""                    ""                     0835m046_ac51-009768   83.8787197          -4.921681             0.0849       0.0912        180         69        110     72         55308.379916   10.119   0.039       27.9    9.616    0.054       20.0    6.469    0.068       16.0    2.853    0.114       9.5     AAAB           0         00n1      0.3746086411280821     426-010335   83.8787618   40          -4.9216362   42          ""      ""       ""      ""       16.242   0.01     15.113   0.0      15.61    0.0      14.493   0.0      13.802   0.1      0.15580359540530406    ""           ""         ""         ""        ""       ""       ""       ""         ""         ""        ""        ""       ""        ""                      ---        ---        0000-00-00                         0.0       C      A_cloud  440  
  1604    2MASS_J05353103-0457200                                      IR    05:35:31.01   -04:57:20.1   83.8791887   -4.9555777   FAST      68.0   M0     -4.138   0.26    -999.0   -999.0   -999.0   ---       ---     -999.0    -999.0    -999.0   -999.0   -999.0    -999.0   -999.0   -999.0   15.965   0.012    10    14.895   0.012    10   13.545   0.007    8     0.098    0.152    -999.0   0.037    0.038    -999.0   5.28E-6    3.47E-11   -999.0     0.0      0.0      2.986    19.16668   0.04303186   16.6785    0.01429633    15.25169   0.01740426    17.15736   0.03237599    13.60287   0.0155674     0.376307397795983      12.18    0.026   11.447   0.035   11.228   0.029   AAA       000      0.393048    ""         ""              ""                 ""        ""           ""        ""           ""        ""           ""        ""           ""        ""           ""                     ""           ""            ""             ""              ""        ""           ""        ""           ""        ""           ""        ""           ""       ""        ""        ""          ""                    ""                     0835m046_ac51-009471   83.8793603          -4.9558566            0.1763       0.1943        134         122       272     132        55294.524347   10.703   0.079       13.8    10.276   0.087       12.5    6.301    0.195       5.6     3.921    0.329       3.3     AABB           1         55n3      1.1776569295244164     426-010336   83.8793174   74          -4.9555912   72          10.9    4.8      1.5     5.2      ""       ""       ""       ""       ""       ""       ""       ""       ""       ""       0.4641395551968045     ""           ""         ""         ""        ""       ""       ""       ""         ""         ""        ""        ""       ""        ""                      ---        ---        0000-00-00                         0.0       W      A_cloud  440  
  1605    V*_V422_Ori                                                  Or*   05:35:31.51   -05:05:01.4   83.881287    -5.083736    FAST      67.5   K7.5   -180.5   0.16    -999.0   -999.0   -999.0   ---       ---     -999.0    -999.0    -999.0   -999.0   -999.0    -999.0   -999.0   -999.0   15.721   0.122    5     14.643   0.08     5    13.332   0.077    2     0.541    -999.0   -999.0   0.272    -999.0   -999.0   0.0        -999.0     -999.0     -999.0   -999.0   -999.0   16.30519   0.03294895   16.23689   0.01421377    15.07916   0.0173941     14.15542   0.001409922   13.41819   0.01554535    0.25656492153526106    12.12    0.023   11.314   0.031   10.819   0.019   AAA       000      0.289691    ""         ""              ""                 ""        ""           ""        ""           ""        ""           ""        ""           ""        ""           ""                     ""           ""            ""             ""              ""        ""           ""        ""           ""        ""           ""        ""           ""       ""        ""        ""          ""                    ""                     0835m046_ac51-002142   83.8812491          -5.0838046            0.044        0.042         134         82        174     56         55324.882094   9.94     0.027       40.2    9.387    0.022       49.8    6.875    0.061       17.7    4.255    0.051       21.4    AAAA           1         22nn      0.2818846239499574     425-010301   83.8812489   65          -5.0837889   50          -0.3    5.2      4.6     5.2      16.425   0.28     15.504   0.17     16.084   0.01     15.084   0.01     14.189   0.13     0.23437691626809098    ""           ""         ""         ""        ""       ""       ""       ""         ""         ""        ""        ""       ""        ""                      ---        ---        0000-00-00                         0.0       C      A_cloud  440  
  1606    2MASS_J05353181-0606294                                      *iC   05:35:31.81   -06:06:29.3   83.8825455   -6.1081515   FAST      70.5   M2.5   -7.94    0.25    -999.0   -999.0   -999.0   ---       ---     -999.0    -999.0    -999.0   -999.0   -999.0    -999.0   -999.0   -999.0   16.134   0.015    13    14.901   0.016    9    -999.0   -999.0   0     0.206    0.138    -999.0   0.06     0.046    -999.0   3.42E-6    6.14E-7    -999.0     1.989    2.715    1.918    19.22729   0.07271539   16.85715   0.0169589     15.4382    0.02097511    14.185     0.01772279    13.36791   0.01818124    0.17753253006990588    11.928   0.027   11.208   0.03    11.055   0.022   AAA       000      0.10299     ""         ""              ""                 ""        ""           ""        ""           ""        ""           ""        ""           ""        ""           ""                     ""           ""            ""             ""              ""        ""           ""        ""           ""        ""           ""        ""           ""       ""        ""        ""          ""                    ""                     ""                     ""                  ""                    ""           ""            ""          ""        ""      ""         ""             ""       ""          ""      ""       ""          ""      ""       ""          ""      ""       ""          ""      ""             ""        ""        ""                     420-010081   83.8825656   64          -6.1081975   55          -4.5    4.5      -0.4    5.2      17.639   0.18     16.159   0.01     17.045   0.01     15.488   0.01     14.192   0.01     0.18055483039704406    ""           ""         ""         ""        ""       ""       ""       ""         ""         ""        ""        ""       ""        ""                      ---        ---        0000-00-00                         0.0       W      A_cloud  440  
  1607    --                                                           ---   05:35:31.87   -01:32:34.3   83.8828057   -1.5428608   HSP       71.0   M3     -4.5     0.4     0.886    1.032    1.918    ---       ---     -999.0    -999.0    -999.0   -999.0   -999.0    -999.0   -999.0   -999.0   16.767   0.007    38    15.697   0.016    48   14.208   0.017    86    0.237    0.19     0.139    0.059    0.048    0.031    5.68E-17   2.79E-37   4.78E-6    2.691    1.635    1.84     20.43575   0.06459394   17.84013   0.02070249    16.36685   0.0205688     15.25676   0.02449571    14.59334   0.02767807    0.750369679318333      12.798   0.028   12.236   0.044   11.96    0.033   AEE       000      0.22311     392971     83.8826952469   -1.54303635526     13.9759   0.00114369   13.5984   0.00113699   13.1196   0.00208161   12.4805   0.00200868   12.2738   0.00271249   0.7466046882450403     83.882715    -1.5429506    ""             ""              11.7688   0.00405657   11.7356   0.00496707   11.6191   0.0140762    11.5724   0.0339595    ""       ""        ""        ""          ""                    0.4593995803024412     0831m016_ac51-017625   83.8827872          -1.5428705            0.0417       0.0384        -91         57        88      57         55362.99475    11.665   0.023       46.5    11.55    0.022       49.4    11.674   0.25        4.3     9.019    ""          -0.1    AABU           0         00nn      0.0751781275419743     443-010795   83.8827286   100         -1.5429553   104         -9.5    5.1      -6.7    5.5      18.43    0.0      16.796   0.09     17.454   0.03     16.04    0.13     14.737   0.11     0.4389985660489162     ""           ""         ""         ""        ""       ""       ""       ""         ""         ""        ""        ""       ""        ""                      ---        ---        0000-00-00                         0.0       W      1b       440  
  1608    2MASS_J05353198-0559415                                      *iC   05:35:31.97   -05:59:41.5   83.883213    -5.9948655   FAST      68.0   M0     -4.61    0.34    -999.0   -999.0   -999.0   ---       ---     -999.0    -999.0    -999.0   -999.0   -999.0    -999.0   -999.0   -999.0   16.159   0.015    11    18.528   0.017    4    13.756   0.018    15    0.231    -999.0   0.165    0.067    -999.0   0.043    8.88E-7    9.0        1.14E-5    2.965    1.008    0.0      ""         ""           ""         ""            ""         ""            ""         ""            ""         ""            ""                     12.384   0.021   11.688   0.032   11.508   0.024   AAA       000      0.134522    ""         ""              ""                 ""        ""           ""        ""           ""        ""           ""        ""           ""        ""           ""                     ""           ""            ""             ""              ""        ""           ""        ""           ""        ""           ""        ""           ""       ""        ""        ""          ""                    ""                     0835m061_ac51-016261   83.8832462          -5.9948969            0.0405       0.0383        25          47        11      49         55363.218932   11.406   0.023       46.9    11.304   0.021       51.0    10.064   ""          0.7     8.233    0.441       2.5     AAUC           0         00nn      0.16403431389699247    421-010099   83.8832677   43          -5.9948839   42          5.1     5.2      -1.4    5.2      17.342   0.14     16.227   0.01     16.759   0.1      15.577   0.04     14.503   0.03     0.2067419994367905     ""           ""         ""         ""        ""       ""       ""       ""         ""         ""        ""        ""       ""        ""                      ---        ---        0000-00-00                         0.0       W      A_cloud  440  
  1609    V*_V2528_Ori                                                 Or*   05:35:33.69   -04:46:23.6   83.890373    -4.7732295   FAST      67.5   K7.5   -86.4    0.3     -999.0   -999.0   -999.0   ---       ---     -999.0    -999.0    -999.0   -999.0   -999.0    -999.0   -999.0   -999.0   15.644   0.035    7     14.605   0.032    7    13.52    0.028    6     0.206    -999.0   -999.0   0.092    -999.0   -999.0   0.0        9.0        -999.0     0.0      0.0      0.0      ""         ""           ""         ""            ""         ""            ""         ""            ""         ""            ""                     12.08    0.023   11.193   0.032   10.839   0.021   AAA       000      0.160947    ""         ""              ""                 ""        ""           ""        ""           ""        ""           ""        ""           ""        ""           ""                     ""           ""            ""             ""              ""        ""           ""        ""           ""        ""           ""        ""           ""       ""        ""        ""          ""                    ""                     0835m046_ac51-009801   83.8903841          -4.7732862            0.0391       0.0366        45          45        70      43         55340.93356    10.577   0.024       46.2    10.381   0.021       51.9    8.039    0.043       25.4    5.213    0.074       14.6    AAAA           1         22n5      0.20796807249360963    427-010203   83.8904118   60          -4.7733078   60          ""      ""       ""      ""       16.447   0.01     15.576   0.01     16.076   0.01     15.134   0.01     14.226   0.03     0.3143751556494115     ""           ""         ""         ""        ""       ""       ""       ""         ""         ""        ""        ""       ""        ""                      ---        ---        0000-00-00                         0.0       C      A_cloud  440  
  1610    --                                                           ---   05:35:33.73   +03:37:12.2   83.8905375   3.6200655    FAST      67.5   K7.5   -1.034   0.34    -999.0   -999.0   -999.0   ---       ---     -999.0    -999.0    -999.0   -999.0   -999.0    -999.0   -999.0   -999.0   16.279   0.033    30    15.341   0.018    18   14.437   0.013    21    0.114    0.038    0.039    0.026    0.012    0.011    0.447      0.998      0.987      0.412    0.48     -0.013   ""         ""           ""         ""            ""         ""            ""         ""            ""         ""            ""                     13.416   0.032   12.74    0.026   12.562   0.034   AAA       000      0.188967    ""         ""              ""                 ""        ""           ""        ""           ""        ""           ""        ""           ""        ""           ""                     ""           ""            ""             ""              ""        ""           ""        ""           ""        ""           ""        ""           ""       ""        ""        ""          ""                    ""                     0831p030_ac51-047491   83.8905199          3.6199881             0.0459       0.0437        0           72        0       77         55359.936921   12.51    0.026       42.6    12.503   0.025       43.0    11.844   ""          1.9     9.027    ""          -1.0    AAUU           0         00nn      0.28572492913124165    469-011889   83.8905415   44          3.6200275    48          1.5     5.3      -5.6    5.2      18.073   0.01     16.213   0.01     17.116   0.22     15.759   0.17     15.086   0.15     0.13755280197889105    ""           ""         ""         ""        ""       ""       ""       ""         ""         ""        ""        ""       ""        ""                      ---        ---        0000-00-00                         0.0       W      1a       330  
  1611    --                                                           ---   05:35:34.80   -01:22:26.6   83.8950195   -1.3740653   HSP       73.0   M5     -6.1     0.6     0.83     1.193    2.023    ---       ---     -999.0    -999.0    -999.0   -999.0   -999.0    -999.0   -999.0   -999.0   19.535   0.02     4     18.366   0.065    31   16.347   0.025    83    -999.0   0.416    0.146    -999.0   0.08     0.031    -999.0     0.258      0.21       0.0      0.0      0.469    ""         ""           ""         ""            ""         ""            ""         ""            ""         ""            ""                     14.621   0.033   13.937   0.044   13.671   0.04    AAA       000      0.102836    394701     83.8950634787   -1.37408666019     15.5903   0.00242808   15.035    0.00230991   14.5161   0.00408153   13.9445   0.00411247   13.6683   0.0055502    0.1759686327429252     83.895051    -1.3740676    ""             ""              13.3968   0.00747676   13.3331   0.0105291    13.2637   0.045544     13.1688   0.0787614    ""       ""        ""        ""          ""                    0.11366936181409759    0831m016_ac51-017740   83.8950626          -1.3741141            0.0513       0.051         -110        94        0       100        55344.986717   13.467   0.026       42.3    13.276   0.03        36.2    11.875   0.316       3.4     8.527    ""          1.4     AABU           0         00nn      0.23435922000515022    ""           ""           ""          ""           ""          ""      ""       ""      ""       ""       ""       ""       ""       ""       ""       ""       ""       ""       ""       ""                     ""           ""         ""         ""        ""       ""       ""       ""         ""         ""        ""        ""       ""        ""                      ---        ---        0000-00-00                         0.0       W      1b       440  
  1612    --                                                           ---   05:35:34.83   +02:27:08.3   83.895111    2.4523135    FAST      69.5   M1.5   -23.64   0.3     -999.0   -999.0   -999.0   HCH       OB26    6563.78   -17.354   391.5    6708.85  0.192     19.2     1.0      6.0      16.742   0.093    24    15.207   0.011    24   14.058   0.014    21    1.437    1.66     1.45     0.34     0.47     0.416    0.0        0.0        0.0        9.333    11.978   16.881   18.80504   0.02303129   17.7167    0.008587809   16.42017   0.007845624   15.40539   0.01080878    14.64129   0.01390814    0.24805593006034177    12.563   0.029   11.641   0.024   11.033   0.024   AAA       000      0.164512    2692067    83.8950944764   2.45226200068      15.137    0.00188363   14.3868   0.0016467    13.606    0.0026046    12.3519   0.00200646   11.4832   0.00183556   0.1946900990435176     ""           ""            ""             ""              ""        ""           ""        ""           ""        ""           ""        ""           ""       ""        ""        ""          ""                    ""                     0831p030_ac51-000022   83.8950937          2.4522576             0.0319       0.0305        -5          37        83      36         55343.417785   10.265   0.022       48.3    9.634    0.019       56.3    7.558    0.019       57.8    5.7      0.039       27.7    AAAA           0         9900      0.21064005994106544    463-011772   83.8951133   125         2.4522706    94          ""      ""       ""      ""       18.423   0.33     16.753   0.01     ""       ""       ""       ""       ""       ""       0.15466139299986859    ""           ""         ""         ""        ""       ""       ""       ""         ""         ""        ""        ""       ""        ""                      ---        ---        0000-00-00                         0.0       C      1a       330  
  1613    --                                                           ---   05:35:35.31   -01:28:14.6   83.8971405   -1.4707165   HSP       73.0   M5     -7.7     0.4     0.939    1.27     2.209    ---       ---     -999.0    -999.0    -999.0   -999.0   -999.0    -999.0   -999.0   -999.0   18.95    0.006    5     18.04    0.053    35   15.98    0.021    83    0.365    0.383    0.108    0.156    0.08     0.023    0.00514    7.55E-5    0.86       0.0      0.0      0.034    ""         ""           ""         ""            ""         ""            ""         ""            ""         ""            ""                     14.249   0.026   13.553   0.03    13.326   0.031   AAA       000      0.138612    394141     83.8971511482   -1.47074907596     15.2685   0.00208715   14.7254   0.0019722    14.1697   0.00344092   13.6274   0.00350398   13.3298   0.00462693   0.12337566297095119    83.897138    -1.4707346    ""             ""              12.9949   0.00616194   12.9134   0.00803616   12.8361   0.0301982    12.7434   0.0611395    ""       ""        ""        ""          ""                    0.06577820491368032    0831m016_ac51-017679   83.8971385          -1.4707451            0.0454       0.0454        44          78        101     83         55348.381336   13.03    0.024       44.6    12.802   0.026       41.4    11.569   0.204       5.3     9.166    ""          -0.2    AABU           0         00nn      0.10321127579355148    ""           ""           ""          ""           ""          ""      ""       ""      ""       ""       ""       ""       ""       ""       ""       ""       ""       ""       ""       ""                     ""           ""         ""         ""        ""       ""       ""       ""         ""         ""        ""        ""       ""        ""                      ---        ---        0000-00-00                         0.0       W      1b       440  
  1614    --                                                           ---   05:35:36.26   -04:09:27.6   83.9010744   -4.1576791   FAST      67.0   K7     -1.1     0.5     -999.0   -999.0   -999.0   ---       ---     -999.0    -999.0    -999.0   -999.0   -999.0    -999.0   -999.0   -999.0   14.927   0.033    45    14.049   0.02     27   13.719   0.039    10    0.203    0.192    0.082    0.048    0.051    0.025    1.4E-8     8.84E-17   3.92E-4    2.138    2.049    1.983    18.38665   0.03545511   15.7887    0.01394415    14.59702   0.001898752   13.84981   0.001360411   13.43888   0.01239417    0.2560581557330965     12.187   0.023   11.49    0.03    11.308   0.019   AAA       000      0.224969    ""         ""              ""                 ""        ""           ""        ""           ""        ""           ""        ""           ""        ""           ""                     ""           ""            ""             ""              ""        ""           ""        ""           ""        ""           ""        ""           ""       ""        ""        ""          ""                    ""                     0835m046_ac51-020842   83.9010822          -4.1577279            0.0399       0.0369        47          58        129     58         55362.444192   11.291   0.024       45.6    11.274   0.02        53.3    12.049   0.336       3.2     8.935    ""          -0.1    AABU           0         00nn      0.1778982970560074     430-010300   83.9011248   53          -4.1577353   59          7.7     4.4      2.4     5.3      16.377   0.04     15.062   0.04     15.705   0.07     14.501   0.03     13.798   0.13     0.27144208987919194    ""           ""         ""         ""        ""       ""       ""       ""         ""         ""        ""        ""       ""        ""                      ---        ---        0000-00-00                         0.0       W      A_cloud  440  
